Source;Lyrics File;Song ID;Song Title;File Path;IsMatch;Artist;Album;Score;Status;Has Variants;Variant Rank
crh_lt;Unknown - Sen de meni yahşı söznen añasıñmı_;dhS1uQXKveurtFvwiPksnz;Minus-On sekizge keldi yaşım;scripts/lyrics_crh_lt/Unknown - Sen de meni yahşı söznen añasıñmı_.txt;N;Diger;Diger;0.47;LOW;NO;
crh_lt;Unknown - Kelin;NFJltJS3eNrhLyKqZvfx2v;Güneş-O közleriñ;scripts/lyrics_crh_lt/Unknown - Kelin.txt;N;Güneş;Güneş;0.57;LOW;NO;
crh_lt;Bekir Çoban-Zade - Yaz Talası;8j3qHZoHco75lbeG6fw50K;Sakine Nalbantova-Evel baar yaz ayları;scripts/lyrics_crh_lt/Bekir Çoban-Zade - Yaz Talası.txt;N;Sakine Nalbantova;Sakine Nalbantova;0.54;LOW;NO;
crh_lt;Glen Hansard - Take Heart;9CRvj7OsPTjZxXJCl74cCT;Emine Kasarayeva-Kim arar;scripts/lyrics_crh_lt/Glen Hansard - Take Heart.txt;N;Emine Kasarayeva;Emine Kasarayeva;0.51;LOW;NO;
crh_lt;Bekir Çoban-Zade - Ana Tilim;VZwONLFilH9ugS4zMkDxjJ;Bekir Adilov-Sevimli anam;scripts/lyrics_crh_lt/Bekir Çoban-Zade - Ana Tilim.txt;N;Bekir Adilov;Bekir Adilov;0.57;LOW;YES;1/2
crh_lt;Bekir Çoban-Zade - Qarı Ana;VZwONLFilH9ugS4zMkDxjJ;Bekir Adilov-Sevimli anam;scripts/lyrics_crh_lt/Bekir Çoban-Zade - Qarı Ana.txt;N;Bekir Adilov;Bekir Adilov;0.54;LOW;YES;2/2
crh_lt;Unknown Artist (Crimean Tatar) - Oneki de ordek;LZ7jNSoUvwQa9nAUvyUHfZ;Nariman Balich - Quslar Avada (feat. Asiye Saale) ;scripts/lyrics_crh_lt/Unknown Artist (Crimean Tatar) - Oneki de ordek.txt;N;[Unknown Artist];[Unknown Album];0.49;LOW;YES;1/2
crh_lt;Anthems of the Eastern Bloc and Yugoslavia - Anthem of the Crimean Autonomous SSR - Къызыл Аскер Маршы (Qızıl Asker Marşı);LZ7jNSoUvwQa9nAUvyUHfZ;Nariman Balich - Quslar Avada (feat. Asiye Saale) ;scripts/lyrics_crh_lt/Anthems of the Eastern Bloc and Yugoslavia - Anthem of the Crimean Autonomous SSR - Къызыл Аскер Маршы (Qızıl Asker Marşı).txt;N;[Unknown Artist];[Unknown Album];0.35;LOW;YES;2/2
crh_lt;Ivanka Chervinska - Dohtur Civanım;u0FkTKXV7iioToi3b2sD2T;Ankara Haytarma Band-Tım-tım;scripts/lyrics_crh_lt/Ivanka Chervinska - Dohtur Civanım.txt;N;Ankara Haytarma Band;Ankara Haytarma Band;0.52;LOW;NO;
crh_lt;The Lion King (OST) - Мен азырым къырал олмагъа _ Men azırım qıral olmağa [I Just Can't Wait to be King];2j6wd9zwh1zYQ9pBIkpot5;Cezair ve Rasim Kurtiyev-Toy olsun, bayram olsun (Crimean song);scripts/lyrics_crh_lt/The Lion King (OST) - Мен азырым къырал олмагъа _ Men azırım qıral olmağa [I Just Can't Wait to be King].txt;N;Cezair;Cezair;0.36;LOW;NO;
