Source,Lyrics File,Song ID,Song Title,Artist,Album,Score,Status,Has Variants,Variant Rank,File Path
crh_lt,Marlen Settarov - Dülberim,Eqx4tfPk8AscAqo7nQvP1a,Marlen Settarov-Dülberim,Marlen Settarov,Marlen Settarov,1.04,HIGH,NO,,scripts/lyrics_crh_lt/Marlen Settarov - Dülberim.txt
crh_lt,Arsen Bekirov - Tabi güzelim,RBtfiucNCOANzaUmuhtu1q,Arsen Bekirov-Oyna güzel,Arsen Bekirov,Arsen Bekirov,0.88,HIGH,NO,,scripts/lyrics_crh_lt/Arsen Bekirov - Tabi güzelim.txt
crh_lt,Zore Kadıyeva - Qırımtatar qadınları,ewHJlgGyV8J7Ce8aseRMRI,Zore Kadıyeva-Qırımtatar qadınları,Zore Kadıyeva,Zore Kadıyeva,1.09,HIGH,NO,,scripts/lyrics_crh_lt/Zore Kadıyeva - Qırımtatar qadınları.txt
crh_lt,"Rustem Memetov - Ey, Güzelim(Эй, гузелим)",XC37LFxsJO5glJzTJKGhdl,"Rustem Memetov ve Gülizar Bekirova-Ey, güzelim",Rustem Memetov,Rustem Memetov,0.86,HIGH,NO,,"scripts/lyrics_crh_lt/Rustem Memetov - Ey, Güzelim(Эй, гузелим).txt"
crh_lt,Bekir Çoban-Zade - Yaz Talası,8j3qHZoHco75lbeG6fw50K,Sakine Nalbantova-Evel baar yaz ayları,Sakine Nalbantova,Sakine Nalbantova,0.54,LOW,NO,,scripts/lyrics_crh_lt/Bekir Çoban-Zade - Yaz Talası.txt
crh_lt,Elvira Sarıhalil - Sudaq'ın Yaluları,op3V42HRkHgDWInmnQkJgj,Elvira Sarıhalil-Dağlarnıñ yolları,Elvira Sarıhalil,Elvira Sarıhalil,0.92,HIGH,NO,,scripts/lyrics_crh_lt/Elvira Sarıhalil - Sudaq'ın Yaluları.txt
crh_lt,Marlen Settarov - Yüregiñni aç Юрегимны ач,GOVjnteDqvejflACKD3c41,Marlen Settarov-Yüregiñni aç,Marlen Settarov,Marlen Settarov,0.81,HIGH,NO,,scripts/lyrics_crh_lt/Marlen Settarov - Yüregiñni aç Юрегимны ач.txt
crh_lt,Nazife Reizova - Araba qapı,Y0GTgXaExpmurucP6AJ0v7,Nazife Reizova-Araba qapı,Nazife Reizova,Nazife Reizova,1.08,HIGH,NO,,scripts/lyrics_crh_lt/Nazife Reizova - Araba qapı.txt
crh_lt,Unknown - Qırım. Vatan. Millet,gQtFXVVppVttRFVhBjhPaR,SEYRAN762  - QrmVatanMillet,Seyran 7'62,Seyran 7'62,0.64,MEDIUM,NO,,scripts/lyrics_crh_lt/Unknown - Qırım. Vatan. Millet.txt
crh_lt,Ediye Topçi - Seni maña ğayet güzel dediler,tAgPNRmaRwdTaEmG09PGeZ,Ediye Topçi-Seni maña ğayet güzel dediler,Ediye Topçi,Ediye Topçi,0.89,HIGH,NO,,scripts/lyrics_crh_lt/Ediye Topçi - Seni maña ğayet güzel dediler.txt
